pres12,vote12,age,race,degree,sei10,rincom06,partyid,sex
1,1,74,1,3,24.2,10,3,2
1,1,84,1,3,80.90000000000001,.i,1,2
.i,2,54,1,1,29.6,15,3,1
1,1,23,2,1,27.6,6,3,1
.i,3,25,3,0,12.6,4,0,2
.i,3,81,1,1,59.9,.i,0,2
1,1,48,1,2,36.4,22,4,1
2,1,46,1,1,24.1,.i,6,1
.i,2,51,3,0,18.6,15,1,1
1,1,86,2,2,69.3,.i,0,2
1,1,54,3,0,31.2,16,0,1
1,1,45,1,2,53.7,21,3,2
1,1,75,1,4,82.5,.i,2,2
1,1,23,1,1,68,16,2,1
1,1,63,1,1,67.7,20,0,2
1,1,82,1,1,35.8,.i,2,2
.i,2,50,1,2,86.5,.i,3,2
2,1,83,1,4,82.5,.i,5,1
1,1,67,1,4,91.09999999999999,.i,0,1
2,1,84,1,1,39.7,.i,4,2
1,1,59,2,3,32.6,1,0,2
1,1,45,1,4,34.6,21,0,2
2,1,55,1,2,59.1,17,5,1
2,1,62,1,4,62,.i,5,2
.i,2,77,1,1,37.8,.i,3,2
1,1,46,1,3,57.3,23,2,1
.i,2,59,1,1,52,.i,3,1
.i,3,20,2,1,40.4,3,2,2
1,1,63,1,4,71.8,16,0,1
1,1,71,1,4,88.7,9,5,2
1,1,37,3,1,64.5,19,2,1
.i,2,27,1,0,.i,.i,3,2
.i,2,26,1,1,.i,.i,3,2
.i,2,46,1,1,38.3,3,2,1
.i,2,56,1,0,28.5,.i,3,2
1,1,45,3,1,52,15,1,2
1,1,62,1,1,45.3,18,1,1
.i,2,24,2,1,25.2,.i,3,1
1,1,48,2,3,64.5,20,2,1
1,1,31,2,1,59.8,18,4,1
1,1,37,2,3,67.7,20,0,1
1,1,35,2,1,27,13,0,2
.i,3,26,1,1,43.9,.i,1,2
1,1,54,1,0,12.6,6,2,2
1,1,36,1,1,38.8,15,0,2
2,1,79,1,1,38.8,.i,4,2
1,1,78,2,0,12.6,.i,0,2
.i,2,27,1,1,25.2,14,2,1
1,1,20,3,1,14,6,2,2
.i,3,41,1,1,70.5,22,5,1
.i,2,63,1,1,32.6,.i,4,1
.i,2,25,2,1,20.7,9,1,1
.i,2,32,1,1,12.6,.i,1,2
1,1,34,2,0,21.6,.i,1,2
1,1,46,3,3,51.7,20,2,1
.i,2,50,1,0,12.6,13,3,1
1,1,34,3,1,35.5,17,2,2
.i,2,22,1,0,21.6,.i,3,2
.i,2,35,1,0,18.8,16,1,1
.i,2,41,1,0,19.6,.i,2,2
.i,2,53,1,0,20.1,8,3,2
.i,2,54,1,0,.i,.i,5,2
1,1,50,3,1,.i,.a,.n,2
.i,3,38,1,1,12.6,7,5,2
.i,2,35,1,0,12.6,13,0,2
.i,3,19,2,1,.i,.i,3,1
4,1,56,3,0,28.7,.i,2,1
1,1,46,3,1,45.4,25,2,1
1,1,68,1,0,43.9,.i,0,2
1,1,41,1,1,35.8,19,0,2
.i,2,29,1,0,25.2,.a,3,1
2,1,61,3,1,27,10,5,2
.i,2,56,1,1,39.2,11,4,1
.i,2,33,1,1,35.8,.i,5,2
.i,2,24,3,3,64.2,18,1,2
1,1,69,1,1,78.3,13,0,1
1,1,61,1,4,73.59999999999999,21,0,1
1,1,78,2,1,24.2,.i,2,2
.i,2,43,1,1,23.8,9,3,1
.i,2,52,1,0,21.3,.i,5,1
1,1,59,1,1,33.9,.i,1,1
1,1,69,1,4,92.8,25,0,1
1,1,37,1,2,61.4,.i,0,1
.i,2,41,1,3,71.8,20,1,2
1,1,59,1,3,61.2,.i,2,2
.i,2,23,1,1,73.90000000000001,12,7,2
.i,3,19,3,1,.i,.i,2,1
1,1,30,1,3,64.2,11,2,2
.n,.n,75,1,0,.i,.i,4,2
.i,2,46,1,0,23.3,.a,1,2
.i,3,19,1,1,15.8,.i,3,1
.i,2,51,3,4,71.8,25,1,2
4,1,61,1,4,82.5,20,5,2
.i,2,45,1,1,21.6,15,1,2
.i,2,58,3,0,18.6,19,1,1
1,1,79,1,0,15.8,.i,1,2
.i,2,75,3,3,35.8,.i,4,2
2,1,89,1,1,62,.i,6,1
4,1,41,3,1,65.3,13,3,2
.n,1,32,3,3,71.8,.a,4,1
2,1,58,3,3,38.3,18,6,2
2,1,72,1,3,38.3,19,4,1
1,1,66,1,2,78.3,.i,1,2
1,1,21,2,1,.i,.i,2,2
2,1,45,1,1,32,.i,4,2
.i,2,58,1,1,58.4,19,3,1
2,1,50,1,1,75.5,2,4,2
1,1,55,1,4,72.7,.i,0,2
2,1,43,1,2,39.7,23,3,1
2,1,31,1,1,31.9,.i,3,2
1,1,30,1,1,21,.i,0,2
1,1,42,2,0,25,.i,2,2
1,1,25,3,0,41.4,10,3,2
1,1,59,1,0,12.6,.i,1,2
2,1,80,1,0,23.3,.i,5,2
.i,.d,58,1,1,12.6,.i,3,2
.i,2,40,1,0,.i,.i,3,2
.i,2,78,1,4,85.2,.i,.n,1
.i,2,78,1,1,31.9,.i,1,2
1,1,46,1,4,80.90000000000001,21,6,2
.i,3,43,1,2,23.8,19,4,1
2,1,81,1,3,77.40000000000001,.i,6,1
.n,1,63,2,3,80.7,.i,.n,2
1,1,48,2,1,20.7,15,0,1
1,1,48,3,1,52.9,20,1,2
1,1,57,2,1,74.8,.i,0,1
1,1,29,1,1,59.4,12,0,2
.i,2,30,1,1,13.6,.i,2,2
1,1,29,2,3,57.4,18,0,2
1,1,50,2,2,62.9,20,0,2
.i,3,61,1,0,23.3,.i,3,2
.i,2,30,1,1,37.6,15,3,1
.i,2,32,1,4,63.7,19,1,1
.i,3,18,1,0,.i,.i,7,2
1,1,85,1,4,38.8,.i,0,2
.i,2,51,1,1,25.2,.i,3,1
1,1,26,1,1,19.6,15,2,2
2,1,38,1,3,86.7,24,7,1
1,1,39,3,0,24.2,14,3,2
.i,2,20,1,1,23.8,12,2,1
2,1,39,1,1,41.1,2,5,2
1,1,57,1,1,14,4,0,2
.i,2,87,1,1,41,.i,6,2
1,1,81,1,0,43,.i,4,2
.i,2,31,1,1,46.6,19,4,1
2,1,61,1,3,25,15,6,2
1,1,31,1,1,53,13,3,2
1,1,61,3,1,29.4,.i,0,1
.i,2,39,1,1,58.4,.i,2,2
2,1,84,1,3,84.5,.i,4,1
1,1,54,1,3,73.90000000000001,.i,2,2
.i,2,26,3,1,35.3,18,2,1
.n,1,84,1,4,87.3,.i,3,2
1,1,60,2,3,71,25,0,1
.n,1,43,1,3,73.90000000000001,21,3,2
1,1,65,1,3,67.7,19,0,1
1,1,34,2,4,69.3,24,1,2
1,1,78,1,0,20.1,.i,0,2
.i,2,85,1,1,69.3,.i,3,2
1,1,73,1,0,43.9,.i,1,2
.i,2,25,1,1,63.1,16,1,2
2,1,30,1,4,83.40000000000001,21,3,2
1,1,46,2,1,25.2,20,0,2
1,1,28,2,1,77.2,15,1,2
.i,2,40,2,1,24.2,15,1,2
.i,2,25,2,1,29.4,7,3,1
1,1,55,3,3,48.1,18,0,1
.i,3,19,3,0,.i,.i,2,2
.i,2,31,3,0,21.6,8,4,2
.i,3,33,3,1,31.2,15,2,1
1,1,27,1,3,.i,.i,1,1
2,1,62,1,3,71,.i,6,1
1,1,70,1,4,76.3,.i,0,2
2,1,58,1,3,65.3,20,2,1
1,1,54,3,2,39.7,5,3,2
1,1,50,3,1,25,.i,3,2
1,1,36,1,1,21.6,13,0,2
.i,2,34,3,1,32.6,14,2,2
.i,3,19,3,1,21.8,1,2,2
.i,2,39,3,1,38.1,.i,3,2
1,1,66,3,1,37.6,20,1,1
1,1,73,1,4,91.09999999999999,.i,0,2
.i,2,53,1,1,75.5,16,1,2
2,1,41,1,3,69.3,20,1,1
1,1,35,2,3,59.1,1,3,1
2,1,23,1,2,27,.i,5,2
.i,.d,74,1,0,19.6,.i,4,2
.i,2,36,3,0,12.4,.i,5,2
.i,2,23,2,1,18.6,.i,1,1
2,1,64,1,4,67.7,11,6,2
1,1,39,3,1,26.1,3,2,2
1,1,82,1,4,67.8,.i,.n,1
1,1,50,1,3,61.2,9,1,1
1,1,74,1,3,56.9,.i,0,1
.i,2,45,1,3,62,20,7,2
2,1,47,1,0,83.8,22,5,1
2,1,69,1,1,24.6,.i,6,2
.i,2,36,1,1,51.9,20,5,1
2,1,38,1,1,62.6,22,5,1
1,1,42,1,4,84.5,19,0,2
2,1,70,1,4,57,9,5,1
2,1,70,1,3,52.4,.i,4,1
1,1,53,1,1,37.2,14,7,2
1,1,65,1,1,57.4,.i,3,1
.i,2,29,1,3,83.8,20,2,1
.i,2,28,3,1,39.7,1,1,1
2,1,63,1,1,37.6,.a,6,1
.i,2,35,1,1,25.7,14,3,2
.i,2,35,1,0,38.1,5,1,2
1,1,50,1,4,62.9,9,0,2
2,1,57,1,1,43,15,4,2
1,1,40,1,1,41,25,0,1
1,1,32,1,1,37.8,17,1,2
2,1,30,1,3,65.3,20,6,2
1,1,30,1,3,69.40000000000001,18,4,2
2,1,49,1,3,77.2,25,5,1
1,1,58,1,1,49.6,19,0,2
.i,2,24,1,3,26.1,.i,3,2
2,1,49,1,3,69.3,24,5,2
.i,2,66,1,1,50,13,3,1
1,1,43,1,3,70.5,19,3,1
1,1,67,3,4,83.8,25,0,1
2,1,69,1,3,84.2,.i,6,2
1,1,65,1,1,59.1,21,0,1
2,1,52,1,1,43,22,6,1
3,1,63,1,3,52.4,25,2,1
1,1,60,1,1,68.59999999999999,25,2,1
.i,2,20,1,1,.i,.i,4,2
2,1,49,1,3,76.3,24,5,1
.i,2,36,1,4,82.5,20,5,2
1,1,23,2,1,37.6,.a,0,1
.i,3,19,1,0,31.2,16,2,1
2,1,57,1,4,88.7,20,5,1
.i,3,33,3,0,.i,.i,3,2
.i,3,39,3,0,20.5,18,1,1
.i,2,33,3,1,31.2,19,3,1
.i,2,38,2,2,24.2,16,1,2
1,1,57,2,1,38.8,15,1,2
.i,2,23,1,1,25.2,3,1,1
1,1,46,2,1,21.8,.i,0,2
1,1,23,2,1,12.6,.i,2,2
1,1,55,2,1,32,21,0,1
1,1,22,2,2,24.2,17,1,2
1,1,70,2,4,71.7,12,0,2
.i,2,27,2,2,30.3,16,3,1
1,1,58,2,3,42.7,21,1,2
1,1,55,2,1,24.2,.i,0,2
1,1,36,2,4,84.5,18,2,2
2,1,65,1,1,35.1,.i,3,2
1,1,64,1,3,.i,.a,1,2
.i,2,41,1,1,31.6,17,0,2
2,1,58,1,1,59.1,22,4,1
3,1,52,1,1,52,21,2,2
1,1,63,1,4,86.7,19,0,2
1,1,70,1,3,84.5,23,0,1
2,1,63,1,4,91.90000000000001,25,5,1
.i,2,31,1,3,65.3,20,7,2
1,1,88,1,4,91.09999999999999,.i,0,1
.n,1,60,2,4,84.5,22,2,2
1,1,34,1,3,82.5,23,0,2
.i,3,35,1,4,91.09999999999999,25,2,1
1,1,72,1,1,26.1,14,0,2
2,1,77,1,1,24.2,.i,6,2
2,1,49,1,1,24.6,18,5,1
1,1,38,2,3,59.8,18,1,2
1,1,40,1,3,76.3,23,1,2
1,1,37,2,3,71.8,13,1,2
1,1,35,1,3,78.3,19,1,2
1,1,62,2,1,35.8,18,0,2
1,1,32,2,1,64.5,21,1,1
.i,2,70,1,3,25.2,5,6,1
1,1,44,3,3,30.3,2,7,1
1,1,60,1,4,.i,.a,2,1
1,1,57,3,4,77,21,1,2
2,1,55,1,4,77.40000000000001,.i,6,1
3,1,39,2,1,31.6,.i,4,1
.i,3,52,2,3,31.1,.i,2,1
.i,2,22,2,1,21.6,.i,1,2
.i,2,42,1,0,36.2,14,1,1
1,1,25,2,3,39.7,7,1,1
